user,item,rating,timestamp,u_idx,i_idx
ur0000002,tt0120741,5,1998-07-27 00:00:00+00:00,0,35536
ur0000002,tt0119237,2,1998-07-27 00:00:00+00:00,0,34832
ur0000002,tt0134619,4,1998-07-27 00:00:00+00:00,0,37074
ur0000039,tt0117571,7,1998-07-28 00:00:00+00:00,1,34145
ur0000039,tt0120201,8,1998-07-28 00:00:00+00:00,1,35269
ur0000039,tt0070047,7,1998-07-28 00:00:00+00:00,1,17055
ur0000002,tt0120746,7,1998-07-28 00:00:00+00:00,0,35539
ur0000039,tt0084787,9,1998-07-28 00:00:00+00:00,1,22390
ur0000039,tt0118689,5,1998-07-28 00:00:00+00:00,1,34549
ur0000039,tt0102279,3,1998-07-28 00:00:00+00:00,1,28867
